Client ID,Life Science,Human Body,Plants and Microbiology,Biotechnology,Genetics,Motion,Energy,Electricity,Modern Physics,Atoms,Chemical Reactions,Organic and Inorganic Chemistry,Thermodynamics & Kinetics,Acids and Bases,Ecology,Climate change,Pollution & Waste Management,Sustainability,Problem-Solving Techniques,Mathematical Reasoning & IQ Tests,"Arithmetic (Fractions, Decimals, Ratios, Percentages)",Word based problems,Algebra & Linear Equations,Trigonometry,Calculus,Differential Equations,Discrete Mathematics,Data Analysis,Basic Statistics,Probability,Computer Operations & MS Office,C,C++,Scratch,Python,JAVA,Backend,Full-Stack Development (Frontend & Backend),"Databases (SQL, NoSQL) & APIs",Mobile App Development,Object-Oriented Programming,Web Development,Data Structures & Algorithms,AI & Machine Learning,Cybersecurity & Ethical Hacking,History,Geography,Civics & Political Science,Psychology & Sociology,Economics,Communication & Soft Skills,Entrepreneurship
11,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,4,4,4,5,4,4,5,4,5,4,4,1,0,0,1,1,0,0,1,0,2,0,1,0,0,0,1,0,0,2,0,2,0
12,1,2,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,4,5,5,4,0,4,5,4,4,4,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0
13,1,0,1,1,2,2,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,1,1,1,1,0,0,0,1,0,4,4,5,4,5,0,0,4,5,4,4,0,5,4,4,1,0,2,2,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,1,0,0,1,4,4,0,0,1
15,4,4,4,4,5,4,4,0,5,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,2
16,0,0,1,0,1,1,1,0,0,2,0,1,2,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,4,5,5,5,5,4,0
17,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,4,4,5,4,0,4,5,0,4,4,5,0,0,1,1,1,0,2,1,1,1,0,0,0,1,0,2,0,0,0,2,1,0
18,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,1,0,4,0,4,0,4,5,5,4,4,0,5,4,5,5,4,1,0,0,0,0,0,2
19,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,5,5,5,4,4,4,4,5,4,5,0,4,4,4,4,0,0,0,0,0,0,0
20,5,4,4,5,4,4,4,4,0,4,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,2,1,1,2,0,0,2,1,2,0,1,2,0,2
21,0,0,1,0,2,1,0,1,0,0,2,2,1,0,1,0,2,2,0,4,5,4,0,4,4,4,5,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,2,0,2,0,1
22,2,1,2,2,0,1,1,0,0,2,1,0,1,0,0,0,4,5,2,1,1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,1
23,5,4,4,4,4,4,5,4,5,5,0,1,2,2,2,0,0,0,0,0,2,0,0,2,2,2,2,1,0,0,1,1,2,0,1,0,0,0,1,2,0,2,1,0,2,1,2,1,0,0,1,0
24,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,2,0,2,0,2,0,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0,0,1,1,2,0,0,0,2,4,5,5,0,0
25,1,0,1,0,0,0,2,2,0,0,2,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,2,1,0,1,1,0,1,0,0,4,4,0,0
26,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,4,5,2,0,0,0,0,2,1,0,1,0,1,2,2,0,0,1,1,1,2,0,0,1,2,2,1,1,0,0,0,2,0,0,0,0
27,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,2,1,1,0,1,0,2,0,1,1,0,2,0,1,1,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,1,5,0,4,2,0
28,0,1,0,0,1,0,2,2,0,0,4,5,4,0,0,4,5,5,0,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,0,1,0,1,0
29,2,0,0,2,0,1,0,0,1,2,5,4,0,5,4,4,4,4,4,2,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0,2,1,2,2,2,0,2,0,0,0,0,2
30,0,1,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,4,5,4,5,4,4,0
31,4,5,4,0,4,4,4,4,4,4,0,0,2,0,0,0,2,1,1,1,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,0,2,0,1,0,0
32,5,0,4,4,4,4,4,4,4,4,0,1,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,2,0,1,0,2,1,1,0,1,0,0,0,0,0,0,1
33,4,0,4,4,0,4,4,4,4,4,2,0,0,0,1,1,2,2,1,0,0,1,0,0,2,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,2
34,0,1,0,0,0,2,1,1,0,0,2,0,2,1,0,0,2,1,2,2,0,0,0,0,1,0,2,1,0,0,0,0,0,2,2,0,0,1,0,1,1,2,0,0,1,0,0,4,4,4,1,0
35,0,2,1,1,0,2,0,0,2,0,5,4,0,4,5,5,4,0,4,1,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,0,0,2,2,1,2,0,1,0,1,2,2
36,0,1,1,0,0,0,0,0,1,0,4,4,4,5,5,0,4,4,5,0,0,1,2,0,1,1,1,0,1,1,0,0,0,0,2,0,0,2,2,0,1,0,0,0,1,1,0,0,0,1,2,0
37,0,5,4,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0
38,0,0,4,4,4,2,0,0,0,0,2,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
39,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,5,5,5,0,4,0,4,4,4,5,5,0,0,1,0,0,0,1,1,2,1,0,1,0,0,1,1,0,0,0,0,1,0
40,0,0,0,0,2,0,0,1,0,1,1,1,1,1,2,0,0,0,1,0,4,4,4,5,4,4,5,5,4,4,1,0,0,0,0,2,2,0,1,1,1,0,1,0,0,1,0,0,0,2,0,0
41,1,0,2,0,2,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,1,1,2,2,0,0,2,0,2,0,0,2,0,0,0,1,0,0,0,1,2,0,2,1,5,0,5,1,1
42,0,0,2,2,0,1,0,1,0,0,0,2,0,0,0,1,2,2,0,1,0,0,0,0,1,1,2,0,0,0,4,4,4,0,4,5,4,4,4,4,4,4,4,4,0,0,2,0,0,2,1,0
43,2,0,0,0,0,0,0,1,0,0,5,0,5,4,4,4,0,0,4,1,0,0,2,2,0,1,2,1,0,0,0,0,2,1,1,1,2,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0
44,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4,4,0,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,2,0,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,2
45,0,0,0,0,1,0,0,0,0,0,4,0,4,4,4,0,4,4,0,0,0,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0
46,2,1,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,2,1,0,2,0,2,1,4,0,5,4,4,5,4
47,5,5,0,4,0,4,0,4,4,4,0,1,2,0,1,0,0,1,2,0,1,0,2,2,0,0,1,1,2,0,0,2,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0
48,0,5,4,4,5,0,0,0,0,0,1,2,0,2,0,2,0,0,0,2,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,0,0,0,2,0,0,1,0,0,0,2
49,2,0,0,0,0,0,2,2,0,0,1,0,1,0,1,4,4,4,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
50,2,0,2,1,0,0,0,0,2,1,1,2,0,2,2,0,0,0,1,0,0,1,1,2,0,0,2,0,0,0,2,2,0,0,2,1,0,0,1,0,0,0,0,1,0,4,5,4,4,4,0,5
51,0,1,0,0,0,0,2,0,0,1,4,5,4,5,5,4,4,4,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,1,1,1,1,0,1,2
52,0,5,4,5,0,4,5,0,4,5,0,0,1,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,1,0,0,1,2,0,1,2
53,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,4,4,4,4,0,4,5,4,4,0,0,0,0,0,0,0,1,2,0,2,2,2,0,1,0,1,1,1,0,1,1,2,0
54,0,0,2,0,2,0,0,0,0,2,4,5,5,4,4,4,5,4,4,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,2,0
55,0,0,0,0,1,0,0,0,2,2,0,0,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,4,4,5,0,5,0,4,0,5,0,4,5,4,5,4,1,0,0,0,0,0,0
56,1,2,0,0,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0,1,0,2,0,0,2,1,0,2,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,4,4,4,4,5,5,0
57,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,2,2,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2
58,4,5,4,4,4,0,0,2,0,2,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1
59,0,0,1,1,1,1,2,1,0,1,0,0,2,1,0,1,1,2,0,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,4,5,4,4,0,5,5
60,0,0,0,0,0,1,1,0,0,2,1,1,0,0,2,0,2,0,0,0,2,0,0,2,1,0,1,0,0,0,4,0,0,4,4,5,5,5,5,4,5,4,4,0,0,0,1,0,0,1,0,0
61,0,0,0,0,0,0,1,2,0,2,4,5,4,5,0,4,0,4,4,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,2,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,1
62,0,2,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,1,0,1,2,2,1,1,1,2,0,2,0,0,0,0,0,0,4,4,5,1,0
63,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,0,2,0,1,0,0,0,0,1,0,2,1,0,1,2,0,0,1,1,0,1,0,1,2,1,0,1,1,1,0,4,4,1,0
64,4,0,5,5,5,0,0,0,0,1,2,0,1,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,1,0
65,0,2,2,0,0,0,1,0,0,0,2,0,1,0,2,5,5,4,0,2,1,1,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0
66,5,4,0,0,5,1,1,0,0,0,1,0,0,0,1,1,2,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0
67,0,2,1,0,0,0,0,1,0,0,4,4,4,0,4,0,4,4,4,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,2,1,0,0,0,0,0,0,1,0,1,0
68,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,5,5,4,0,2,0,0,1,0,1,2,1,1,1,1,0,1,0,2,0,0,2,1,0,0,2,1,1,2,0,1,0,0,2,2,1,0
69,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,0,2,0,1,0,0,0
70,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,0,2,0,1,2,0,0,0,1,0,0,0,2,0,2,1,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0
71,0,1,0,0,2,1,0,2,0,0,5,0,5,4,4,5,4,5,4,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,2
72,0,2,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,2,2,1,0,0,5,4,0,1
73,2,0,0,0,2,1,2,2,0,0,5,4,4,0,0,4,0,5,4,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0
74,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,2,1,0,1,1,0,1,0,0,2,1,0,0,0,0,1,0,2,2,0,0,1,4,4,4,4,5,4,5
75,1,1,0,1,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,4,4,4,5,5,5,4,4,5,4,5,4,0,5,4,0,0,1,2,1,2,1
76,0,2,0,0,2,2,0,0,0,2,0,2,1,2,2,0,0,0,2,1,0,1,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,1,1,0,2,0,1,0,0,0,1,0,4,4,1,0
77,2,2,2,1,0,0,0,0,0,2,4,5,4,0,5,4,4,4,4,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,1,2,0,1,1,1,0,1,1,0
78,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,1,2,1,4,4,4,4,0,5,0,4,5,4,5,5,4,4,4,0,0,1,0,0,1,2
79,5,4,0,4,4,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,2,1,0,2,1,2,1,0,0,2,0,0,1,2,2,1,0,2,1,0,2,2,0,0,1,0,0,2,2,2
80,2,0,0,0,0,1,1,2,2,0,0,1,0,0,0,2,0,0,2,1,0,1,0,0,2,0,2,0,2,0,2,0,2,1,0,1,0,1,0,2,1,0,0,0,2,0,1,0,4,4,0,2
81,0,0,0,1,1,2,0,0,0,0,1,0,2,0,0,2,1,0,1,0,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,4,5,0,2,2
82,0,0,0,1,2,2,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,4,0,4,4,4,4,4,5,4,4,4,5,4,0,0,2,0,0,0,0
83,4,5,4,4,4,5,5,4,4,4,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,2,0,1,2,0,2,1,0,0,0,0,0,0,1,1,1,0,0,1,1
84,0,2,0,0,0,2,2,0,0,1,0,4,0,4,4,5,0,4,5,0,0,0,1,1,2,2,1,0,1,0,0,1,1,2,0,0,1,1,1,1,2,0,2,0,0,0,0,1,2,0,0,0
85,2,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,1,1,1,1,1,4,5,5,4,5,4,0,5,4,0,4,0,4,0,4,0,0,2,0,1,0,1
86,1,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,4,4,4,5,4,0,4,0,4,4,5,0,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0
87,0,2,2,0,2,0,2,0,0,0,1,1,1,2,2,1,0,0,0,4,4,4,4,4,4,4,5,0,0,4,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0
88,0,5,5,5,0,4,0,4,4,4,0,2,0,0,0,0,0,2,0,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0
89,0,0,2,0,0,2,0,1,0,1,5,4,5,4,4,4,4,4,0,2,0,1,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,2,2,2,0,0,1,0,2,1,0,0,0,1
90,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,4,4,5,5,0,4,4,0,4,4,4,0,4,4,0,0,2,0,1,1,1,0
91,4,4,5,4,4,0,0,0,0,0,0,2,0,1,0,1,2,1,1,1,2,2,0,1,0,0,0,1,2,1,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,4,0,4,4,0,0,0,0,1,0,1,0,1,0,0,1,1,2,0,0,1,2,1,0,0,0,1,0,1,0,1,0,2,2,0,0,2,2,0,0,0,1,0,1,0,1,1,0,0,0,1
93,4,5,0,0,4,0,5,5,4,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,2,1,0,2,0,2,0,1,0,1,0,2,0,0
94,5,4,0,4,5,1,0,0,2,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,0,0,1,1,1,2,0,1,0,0,1,2,0,0,0,1,0,0,0,1,1,0,2,0,2,0,0,0
95,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,5,4,5,4,5,4,4,4,5,0,4,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,1
96,0,0,2,0,0,1,1,1,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,1,2,2,0,0,1,2,2,0,0,1,1,2,4,4,5,4,4,5,0
97,0,0,2,1,2,2,2,1,1,1,4,0,0,4,4,4,4,4,4,0,1,0,0,0,1,0,1,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
98,2,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,5,0,0,2,2,2,1,0,2,0,2,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0
99,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,1,1,1,5,0,4,5,4,5,5,5,5,4,4,0,0,1,0,1,2,1,0,0,1,2,2,2,0,0,2,0,0,0,2,0,0
100,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,0,2,4,4,4,4,4,5,4,4,4,5,4,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0
101,2,0,0,1,2,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,2,2,0,1,4,4,0,4,4,5,4
102,0,2,0,0,2,0,0,0,1,0,5,5,4,0,4,4,0,4,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0
103,0,2,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,2,2,0,1,0,1,1,1,1,2,1,1,0,0,2,0,2,5,5,5,0,2
104,1,1,2,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,5,4,4,4,4,0,4,5,5,4,0,4,0,5,0,2,1,0,0,0,0,0
105,4,4,4,4,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,0,0,0,1,0,0,2,1,2
106,0,1,0,1,1,0,1,2,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,2,0,0,5,4,0,0
107,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,0,0,1,1,0,2,0,0,0,0,2,0,1,2,0,0,0,0,4,4,4,4,4,4,4
108,4,4,4,5,5,4,4,5,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,1,0,0,0,0,2,0,1,0,0,0,1,2,1,0,1,0
109,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,2,2,2,0,0,1,0,1,0,0,0,2,1,1,0,0,0,5,5,5,5,5,5
110,4,5,5,5,4,5,4,5,4,4,1,0,0,0,0,1,1,0,0,0,0,0,2,1,1,2,1,0,2,0,0,2,0,0,2,0,0,0,1,1,0,1,2,0,0,1,0,1,1,1,0,0
111,0,0,1,0,1,2,2,0,2,0,2,2,2,2,0,0,0,0,0,0,2,0,2,1,0,2,0,0,1,0,0,1,2,0,0,2,0,1,0,0,2,0,0,2,1,4,0,0,4,4,0,5
112,2,0,0,1,0,0,2,0,0,0,0,0,2,1,0,1,0,1,1,0,2,0,0,0,0,2,1,0,2,0,0,2,0,1,0,0,2,0,0,0,2,0,0,0,1,2,0,0,4,4,0,0
113,1,0,0,0,0,1,0,0,2,0,0,2,0,2,0,2,0,0,0,2,0,2,0,0,0,1,0,2,2,0,0,1,1,2,1,0,0,0,0,0,0,0,2,1,1,4,4,0,4,0,4,0
114,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,4,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1,0,0,0,2,0,2,2,0,0,2
115,0,0,2,0,0,2,1,1,0,0,0,1,0,1,2,1,2,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,2,0,5,0,4,0,0
116,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,1,0,4,4,0,2,0
117,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,4,5,0,0,4,4,0,4,5,5,5,4,4,4,1,1,1,2,2,0,0
118,0,1,0,1,2,1,1,1,0,0,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,5,0,4,0,0
119,4,4,0,5,4,1,0,2,0,1,0,0,0,2,0,0,1,1,1,0,2,1,1,1,1,0,2,1,0,2,1,2,1,1,0,2,2,0,0,0,0,2,1,2,0,0,0,2,1,0,0,0
120,0,0,2,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,1,1,2,1,0,0,0,1,1,0,2,1,0,1,0,0,5,0,4,1,2
121,0,1,0,0,0,1,0,1,1,1,1,1,0,2,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,2,1,1,0,0,0,2,0,1,1,0,0,1,0,0,0,4,4,0,0
122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,4,0,4,4,4,4,4,4,5,4,4,0,2,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,2,0,0,1
123,2,0,2,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,2,0,1,0,1,1,0,2,2,0,0,2,2,0,0,0,0,0,0,2,0,2,5,0,5,0,0
